Название,Жанр,Режиссер,Страны,Год,IMDb
Брцко в Загребе,кинокомедия,Арсен Маас,Австро-Венгрия,1917,
Борьба с моей семьёй,"драма, комедия, биография, спорт",Стивен Мерчант,"США, Великобритания",2019,7.1
Брӱно,комедия,Ларри Чарльз,"США, Великобритания",2009,5.9
Брук. Легенда,"приключения, история",Даниэль Бенмайор,,2010,5.6
"Брут (фильм, 2016)","Драма, Исторический",Константин Фам,"Россия, Украина, Белоруссия, Румыния, США, Израиль",2016,7.5
Брошенный умирать,слэшер,Кристофер Харрисон,Канада,2007,4.1
"Брошенная (фильм, 1949)",Фильм нуар,Джозеф М. Ньюман,США,1949,6.7
"Бэнтэн Кодзо (фильм, 1958)",Дзидайгэки,Дайскэ Ито,Япония,1958,6.6
"Бэла (фильм, 1913)",,Андрей Громов,Российская империя,1913,5.2
Бэйб: Четвероногий малыш,"комедия, драма",Крис Нунен,"Австралия, США",1995,6.9
Бэт-21,боевик,Питер Маркл,США,1988,6.5
"Бэмби (фильм, 2013)","документальный фильм, ЛГБТ-фильм",Себастьен Лифшиц,Франция,2013,7.2
В поисках гигантских обезьян,научно-популярный фильм,"Роберт Янг, Роберт Кэмпбелл, Кристин Уайзер",США,,7.1
В поисках Галактики,"фантастическая, комедия",Дин Паризо,США,1999,7.4
"В поисках брата (фильм, 2000, Индия)","драма, мелодрама",Халид Мохамед,Индия,2000,6.0
Бэйб: Поросёнок в городе,"семейный, комедийный",Джордж Миллер,"Австралия, США",1998,5.8
В поисках блаженства,романтическая комедия,Джули Дэвис,США,2009,5.2
В поисках адресата,кинокомедия,"Амасий Мартиросян, Юрий Ерзинкян",СССР,1955,3.8
Вам — задание,"военный фильм, драма",Юрий Бержицкий,Белоруссия,2004,
В поисках выхода,комедия,Хэл Эшби,США,1982,5.1
Вальс с Баширом,анимация,"Ари Фольман, Йони Гудман (режиссёр анимации)","Израиль, Германия, Франция",2008,8.0
Вальсирующие,"криминальная, комедия, роуд-муви, бадди-муви, эротика",Бертран Блие,Франция,1974,7.2
Вальтер защищает Сараево,"военный фильм, драма",Хайрудин Крвавац,Югославия,1972,8.1
Вальс шампанского,"комедия, мюзикл",А. Эдвард Сазерленд,США,1937,6.3
"Вильям Фосс, похититель миллионов",детектив,Рудольф Майнерт,Германская империя,1916,
Вальс на Мтацминде,комедия,Баадур Цуладзе,СССР,1975,6.3
Великий перелом (фильм),военный фильм,Фридрих Эрмлер,СССР,1945,6.0
Великий монстр Варан,фантастика,Исиро Хонда,Япония,1958,5.3
