Название,Жанр,Режиссер,Страны,Год,IMDb
Персонаж (фильм),"драма, магический реализм, комедия",Марк Форстер,США,2006,7.5
Персональный покупатель,"фильм-триллер, драматический фильм, фильм о привидениях, фильм-тайна, фильм ужасов",Оливье Ассаяс,"Франция, Бельгия, Чехия, Германия, США","17 мая, 2016, 19 января, 2017, 30 марта, 2017",6.1
"Персонаж (фильм, 2021)","триллер, фильм ужасов",Акира Нагаи,Япония,2021,6.5
Пески Иводзимы,"исторический, военный",Аллан Двон,США,"14 декабря, 1949, 1 марта, 1950",7.0
Персона нон грата (фильм),драма,Кшиштоф Занусси,Польша,2005,6.6
Перси Джексон и Похититель молний (фильм),"фэнтези, комедия, семейный, приключения",Крис Коламбус,"США, Великобритания",2010,5.9
Перси Джексон и Море чудовищ (фильм),"фэнтези, семейный, приключения",Тор Фройденталь,"Канада, США",2013,5.7
Перо маркиза де Сада,"фильм-биография, драма, исторический фильм",Филип Кауфман,"США, Германия, Великобритания",2000,7.2
"Переход (фильм, 1940)",,Александр Иванов,СССР,1940,
Персона (фильм),экзистенциальная драма,Ингмар Бергман,Швеция,1966,8.1
Перо (фильм),"комедийный фильм, драматический фильм",Роан Джонсон,Италия,"5 сентября, 2016",6.3
Персеваль Валлиец,"экранизация, романа",Эрик Ромер,"Франция, Германия, Италия, Швейцария",1978,6.9
Пёрл в армии,"немое кино, киносериал",Edward José,США,1916,
Перл-Харбор (фильм),"романтическая, военная драма",Майкл Бэй,США,2001,6.2
Переходим к любви,мелодрама,"Алексей Мишурин, Олег Фиалко",СССР,1975,6.7
"Переходный возраст (фильм, 1968)","семейный фильм, детский, фильм",Ричард Викторов,СССР,1968,7.5
Перикола (фильм),"оперетта, музыкальный фильм",Александр Белинский,СССР,1984,6.1
Перламутровая пуговица,документальный фильм,Патрисио Гусман,"Испания, Франция, Чили","8 февраля, 2015",7.6
"Переходный возраст (фильм, 2008)","комедия, драма",Оливер Ирвинг,Великобритания,2008,5.4
Переславль-Залесский (фильм),"научно-просветительский, и, документальный",,СССР,1960,
Переход товарища Чкалова через Северный полюс,комедия,Максим Пежемский,СССР,1990,6.7
"Переулок (фильм, 1950)","Фильм нуар, Триллер",Энтони Манн,США,1950,7.1
"Переход (фильм, 1979)",Военная драма,Джей Ли Томпсон,Великобритания,1979,6.0
"Перехват (фильм, 1986)",боевик,Сергей Тарасов,СССР,1986,6.8
Переход через Рейн,"романтический фильм, драматический фильм",Андре Кайат,"Франция, Германия, Италия","1960, 4 ноября, 1960",6.8
Перехватчики 2,"фантастический, боевик, триллер","Филлип Рот, ru",США,,3.8
"Переступить черту (фильм, 1985)","детектив, драма",Юлий Колтун,СССР,1985,6.2
"Переход (фильм, 1978)",драма,Орландо Лубберт,"ГДР, Чили",1978,6.1
"Переступить черту (фильм, 2005)",фильм-биография,Джеймс Мэнголд,"США, Германия",2005,7.8
Пересчёт,драма,Джей Роуч,США,,7.3
Переступи порог,драма,Ричард Викторов,СССР,1970,7.9
Перестрелка в Локандвале,боевик,Апурва Лакхия,Индия,2007,7.1
Переступая черту,драма,Дэвид Лиленд,Великобритания,1990,5.7
Пересечь шесть мостов,Фильм нуар,Джозеф Певни,США,1955,6.7
Пересмешник не будет петь,драма,Гарри Бромли Девенпорт,США,2001,6.4
"Перестрелка (фильм, 1966)",вестерн,Монте Хеллман,США,1966,6.5
"Перестрелка (фильм, 2016)","криминальный боевик, триллер, чёрная комедия",Бен Уитли,Великобритания,2016,6.3
Пересечение (фильм),"Криминал, Драма, Романтика",Ларри Роджер,Канада,2007,3.9
Пересадка в Орли,"кинокомедия, драматический фильм",Жан Древиль,,1955,5.7
Переростки (фильм),комедия,Бен Палмер,Великобритания,2011,6.7
"Переполох (фильм, 1928)",кинокомедия,Александр Левшин,СССР,1928,
"Переправа (фильм, 2008)",драма,Ким Тхэгюн (Kim T’ae-gyun),Южная Корея,2008,7.5
Пересекая мост,трагикомедия,Майк Байднер,США,1992,6.3
Переростки на краю света,комедия,"Дэймон Бисли, Иэн Моррис",Великобритания,2014,6.4
Переполох в общаге,комедия,"Дэвид Хилленбрэнд, Скотт Хилленбрэнд",США,2003,4.6
Переполох на районе,комедийный фильм,Франк Гастамбид,Франция,2012,5.4
Переполох в общаге 2: Семестр на море,комедия,"Дэвид Хилленбрэнд, Скотт Хилленбрэнд",США,2006,4.1
Перепутанные наследники,комедия,Роберт Янг,"Великобритания, США",1993,5.5
"Переправа (фильм, 2009, США)","драма, Саундтрек",Уэйн Крэймер,США,2009,6.7
"Переправа (фильм, 2014)","драма, военный, исторический",Джон Ву,"Гонконг, Китай",,6.1
Переполох в городе жаб,"фантастика, постапокалиптика",Дональд Джексон,США,1987,5.5
"Переполох (фильм, 1975)",комедия,Лана Гогоберидзе,СССР,1975,6.9
"Переполох (фильм, 1981)",боевик,Макс Кливен,США,1981,5.7
Переписывая Бетховена,"фильм-биография, исторический фильм, драма, музыкальный фильм",Агнешка Холланд,"Германия, США, Венгрия","30 июля, 2006, 5 апреля, 2007",6.7
"Переполох (фильм, 1998)",драма,Энтони Дрэйзен,США,1998,5.8
Перепись диких кроликов,Сатира,Эдуард Захариев,Болгария,1973,7.1
Перемотай это!,документальный,Джош Джонсон,США,2013,7.1
"Перемирие (фильм, 1974)",мелодрама,Серхио Ренан,Аргентина,1974,7.3
"Перемирие (фильм, 2010)",драма,Светлана Проскурина,Россия,2010,5.9
Перемотка,комедия,Мишель Гондри,"США, Великобритания",2008,6.4
"Перемирие (фильм, 1997)","драма, военный, история",Франческо Рози,"Италия, Франция, Германия, Швейцария",1997,6.5
"Переломный момент (фильм, 1950)",нуар,Майкл Кёртис,США,1950,7.5
"Перелом (фильм, 2019)","фильм-триллер, психологический фильм-триллер",Брэд Андерсон,США,2019,6.4
"Перелом (фильм, 2021)",драматический фильм,Катерин Корсини,Франция,2021,6.6
"Переломный момент (фильм, 2015)",документальная драма,Оуэн Харрис,Великобритания,,6.3
Перелётные свиньи (фильм),драма,Сильвен Эстибаль,"Франция, Германия",2011,7.0
"Перелом (фильм, 2007)","триллер, драма, детектив",Грегори Хоблит,"США, Германия",2007,7.2
Перелётные птицы (фильм),"криминальная, драма","Кристина Гальего, Сиро Гуэрра","Колумбия, Дания, Мексика, Германия, Швейцария, Франция",2018,7.5
Перекрёсток Миллера,"гангстерская, драма",Джоэл Коэн,США,1990,7.7
Перекрёсток Делэнси,комедия,Джоэн Силвер,США,1988,6.9
"Перекрёсток (фильм, 1998)","мелодрама, комедия, рок, русский шансон",Дмитрий Астрахан,"Россия, Белоруссия, Россия",1998,6.3
"Перекрёсток (фильм, 1993)",драма,Лори Макиннес,Австралия,1993,6.1
"Перекрёсток (фильм, 1986)","музыкальный фильм, драма, мелодрама",Уолтер Хилл,США,1986,7.1
"Перекрёстный огонь (фильм, 2014)","боевик, триллер, драма",Крис Бринкер,США,2014,5.8
"Перекрёстный огонь (фильм, 2021)",боевик,Бенни Чан,Гонконг,2021,6.6
Перекрёстная ловушка,криминал,Роберт Хартфорд-Дэвис,Великобритания,1962,4.7
"Перекрёсток (фильм, 1962)",драма,Шакен Айманов,СССР,1962,6.0
"Перекрёсток (фильм, 1928)",драма,Тэйноскэ Кинугаса,Япония,1928,7.1
"Перекрёстки (фильм, 2002)","приключенческий фильм, комедия, драма, поп",Тамра Дэвис,"США, США",2002,3.6
Пережить Рождество,"комедия, мелодрама",Майк Митчелл,США,2004,5.5
"Перекрёстный огонь (фильм, 1947)","нуар, детектив",Эдвард Дмитрык,США,1947,7.3
Переключая каналы,комедия,Тед Котчефф,США,1988,5.9
Перекличка (фильм),драма,Даниил Храбровицкий,СССР,1965,5.6
Перезагрузка Кикайдера,"научная фантастика, токусацу",Тэн Симояма,Япония,2014,5.6
"Перекрёстки (фильм, 1942)","Детективная мелодрама, Триллер",Джек Конуэй,США,1942,6.7
Пережить желание,драма,Хэл Хартли,США,1991,7.2
"Перед рассветом (фильм, 1961)","драма, экранизация",Григорий Мелик-Авакян,СССР,1961,
"Переезд (фильм, 1988)",комедия,Алан Меттер,США,1988,6.1
Переживая за Боя,драма,Джулиан Джаррольд,Великобритания,,6.9
Передать по наследству,комедия,Боб Кларк,США,1994,5.6
Перед экзаменом,драма,Вячеслав Криштофович,СССР,,7.3
Передай привет Брод-стрит,музыкальный фильм,Питер Уэбб,Великобритания,1984,5.1
Передай патроны,комедия,Дэвид Биэрд,США,1988,5.8
"Перед тем, как наступит зима","комедия, драма",Джей Ли Томпсон,Великобритания,1969,5.8
Перед судом истории,Документальный фильм,Фридрих Эрмлер,СССР,1964,7.8
"Перед тем, как опустится ночь","Криминальная, психологическая драма",Клод Шаброль,"Франция, Италия",1971,7.2
Перед революцией,"драма, мелодрама",Бернардо Бертолуччи,Италия,1964,6.8
"Перед рассветом (фильм, 1989)",боевик,Ярополк Лапшин,СССР,1989,6.9
"Перед рассветом (фильм, 1995)",мелодрама,Ричард Линклейтер,"США, Австрия",1995,8.1
"Перед рассветом (фильм, 1953)",фильм-драма,Кодзабуро Ёсимура,Япония,1953,6.4
Перед полуночью,мелодрама,Ричард Линклейтер,США,2013,7.9
Перед закрытой дверью,драма,Расим Оджагов,"СССР, Азербайджанская ССР",1981,7.5
Перед закатом,"драма, мелодрама",Ричард Линклейтер,США,2004,8.1
Перед потопом (фильм),драматический фильм,Андре Кайат,"Франция, Италия",1954,7.0
Перед дождём (фильм),"драма, военный фильм",Мильчо Манчевски,"Северная Македония, Франция, Великобритания",1994,7.9
"Перед самым рассветом (фильм, 1946)",Детектив,Уильям Касл,США,1946,6.3
"Первый экзамен (фильм, 1958)",киноповесть,"Хангельды Агаханов, Павел Сыров",СССР,1958,
Переворот по инструкции 107,,Загид Сабитов,СССР,1982,
"Перегон (фильм, 1984)",драма,Олег Рябоконь,СССР,,
"Первый снег (фильм, 2021)",,Наталия Кончаловская,Россия,2021,
Перегон (фильм),драма,Александр Рогожкин,Россия,2006,6.3
Переговорщик,боевик,Феликс Гэри Грей,"США, Германия",1998,7.3
Перевал Брейкхарт,"вестерн, драматический фильм, боевик",Том Грайз,США,1975,6.7
Перевозчик 3,"боевик, приключенческий фильм, криминальный фильм, триллер",Оливье Мегатон,"Франция, США, Великобритания",2008,6.1
"Первый, последний","комедийная драма, драматический фильм",Були Ланнерс,"Франция, Бельгия","2016, 11 мая, 2017, 9 февраля, 2017",6.3
Пердита Дуранго,"криминальный боевик, музыка к фильму",Алекс де ла Иглесиа,"Мексика, США, Испания",1997,6.3
Перебежчик Симас Кудирка,драма,Дэвид Лоуэлл Рич,,1978,7.1
Перевозчик: Наследие,"боевик, триллер","Камиль Деламарр, рус.",Франция,2015,5.2
"Перевал (фильм, 1961)",драма,Алексей Сахаров,СССР,1961,7.3
Первый удар (фильм),"боевик, комедия, криминальный фильм, триллер",Стэнли Тонг,Гонконг,1996,6.6
Перевоплощённый,Документальное кино,Andy Capper,США,2012,6.2
Первый этаж (фильм),драма,Игорь Минаев,СССР,1990,6.6
Первый троллейбус,мелодрама,Исидор Анненский,СССР,1963,6.8
Первый учитель (фильм),драма,Андрей Михалков-Кончаловский,СССР,1965,7.5
Первый мяч (фильм),драма,Николай Розанцев,СССР,1962,
"Первый снег (фильм, 1964)","военный фильм, драма","Юрий Швырёв, Борис Григорьев",СССР,1964,
Первый смертный грех,триллер,Брайан Дж. Хаттон,США,1980,5.9
Первый старт,драма,Леонард Бучковский,Польша,1950,6.2
Первый рыцарь,приключенческий фильм,Джерри Цукер,США,1995,6.0
Первый свет (фильм),"драма, военный фильм, биография",Мэттью Уайтман,Великобритания,2010,7.0
Первый после Бога,"военный фильм, драма",Василий Чигинский,Россия,2005,5.3
Первый посетитель,"драма, комедия",Леонид Квинихидзе,СССР,1965,6.0
Первый рыцарь при дворе короля Артура,комедия,Майкл Готтлиб,США,1995,4.7
Первый правитель,исторический,Ян Рыбковский,ПНР,1974,6.2
Первый рейс (фильм),"мелодрама, драма, киноповесть",Аян Шахмалиева,СССР,1976,6.6
Первый рейс к звёздам,научно-популярный,"Дмитрий Боголепов, Илья Копалин, Григорий Косенко",СССР,1961,7.9
Первый Оскар,"военный, драма, история",Сергей Мокрицкий,Россия,2022,5.7
Первый Омен,"фильм ужасов, мистика",Arkasha Stevenson,США,2024,
Первый понедельник октября,"драма, комедия",Рональд Ним,США,1981,6.4
"Первый номер (фильм, 2017)",драматический фильм,Тони Маршалл,Франция,2017,5.9
"Первый парень (фильм, 1958)",комедия,Сергей Параджанов,СССР,1958,5.3
Первый мститель,"боевик, приключения, научная фантастика, супергероика",Джо Джонстон,США,2011,6.9
Первый мститель: Другая война,"боевик, приключения, научная фантастика, супергероика","Энтони Руссо, Джо Руссо",США,2014,7.7
Первый курьер,исторический фильм,Владимир Янчев,"СССР, Болгария","1 марта, 1968",6.6
Первый король Рима,пеплум,Маттео Ровере,"Италия, Бельгия",2019,6.5
Первый дома,"мюзикл, драма, мелодрама, комедия",Олег Гусев,Россия,2006,4.0
Первый корнет Стрешнев,"исторический фильм, драма, военный","Ефим Дзиган, Михаил Чиаурели",СССР,1928,6.4
Первый день мира,военная драма,Яков Сегель,СССР,1959,6.6
"Первые радости (фильм, 1977)",мелодрама,Григорий Никулин,СССР,1977,6.1
Первый встречный,"мелодрама, комедия, мюзикл",Кэт Койро,США,2022,6.1
Первые на Луне,"псевдодокументальный, научно-фантастический фильм",Алексей Федорченко,Россия,2005,6.7
"Первые люди на Луне (фильм, 2010)",научная фантастика,Дэмон Томас,Великобритания,,6.1
Первой по росе прошла красавица,новелла,Виталий Дудин,СССР,1979,
"Первые радости (фильм, 1956)",кинороман,Владимир Басов,СССР,1956,7.1
Первые испытания,драма,Владимир Корш-Саблин,СССР,1961,5.4
"Первые (фильм, 2018)","драма, приключения",Дмитрий Суворов,Россия,2018,5.4
"Первые люди на Луне (фильм, 1964)","приключенческий фильм, фантастика",Натан Юран,Великобритания,1964,6.5
"Первопроходец (фильм, 2013)",Триллер,Эрик Шёлдбьерг,"Норвегия, Швеция, Франция, Германия, Исландия",2013,6.0
Первороссияне,"драма, экранизация","Александр Иванов, Евгений Шифферс",СССР,1967,7.2
Первому игроку приготовиться (фильм),"фантастика, приключения",Стивен Спилберг,США,2018,7.4
Первопечатник Иван Фёдоров (фильм),"Историческое кино, Биографии",Григорий Левкоев,СССР,1941,5.7
Первоклассница,"детский, фильм",Илья Фрэз,СССР,1948,7.3
"Первокурсник (фильм, 1925)",комедия,"Фред Ньюмайер, Сэм Тейлор",США,1925,7.5
"Первокурсник (фильм, 1990)",комедия,Эндрю Бергман,США,1990,6.5
Первоклассный товар,гангстерский фильм,Майкл Ритчи,США,1972,6.7
Первое очарование,"драматический фильм, фильм-триллер",Ашутош Говарикер,Индия,1993,4.8
"Первое лето (фильм, 1974)","драма, экранизация",Армида Неретниеце,СССР,1974,6.2
Первое свидание (фильм),мелодрама,Искра Бабич,СССР,1960,6.4
Первое воскресенье,комедия,Дэвид Е. Талберт,США,2008,4.6
Первенец (фильм),"драма, триллер, ужасы, мистика",Исаак Вэбб,США,2007,4.7
Первобытное зло,"природный фильм ужасов, приключенческий боевик",Майкл Кэтлман,США,2007,4.8
"Первая полоса (фильм, 1974)",Комедия,Билли Уайлдер,США,1974,7.3
"Первая полоса (фильм, 1931)",эксцентрическая комедия,Льюис Майлстоун,США,1931,6.7
Первая сила,мистический криминальный триллер,Роберт Ресникофф,США,"1990, 16 августа, 1990",5.6
Первобытный страх (фильм),триллер,Грегори Хоблит,США,1996,7.7
Первая орбита,Документальный,Кристофер Райли,Великобритания,2011,7.2
Первая ночь покоя,драма,Валерио Дзурлини,"Италия, Франция",1972,7.2
Первая перчатка,комедия,Андрей Фролов,СССР,1946,6.9
"Первая любовь (фильм, 2009)","мюзикл, комедия, мелодрама",Егор Дружинин,Россия,2009,4.3
"Первая любовь (фильм, 1968)",Мелодрама,Василий Ордынский,СССР,1968,6.8
"Первая любовь (фильм, 2006, Турция)","драма, комедия",Нихат Дурак,Турция,2006,6.7
"Первая любовь (фильм, 1970)","мелодрама, экранизация",Максимилиан Шелл,"ФРГ, Швейцария",1970,6.5
"Первая любовь (фильм, 2001)",драма,Реверж Ансельмо,"США, Великобритания",2001,4.7
"Первая леди (фильм, 1953)","историко, биографическая, драма",Генри Левин,США,1953,6.8
"Первая дочь (фильм, 1999)","комедия, триллер",Арманд Масторойанни,США,1999,5.5
"Первая конная (фильм, 1941)","историко-революционный фильм, военный фильм","Ефим Дзиган, Георгий Березко",СССР,1941,4.7
"Первая конная (фильм, 1984)","военно, историческая, драма",Владимир Любомудров,СССР,1984,6.2
Первая корова,драма,Келли Райхардт,США,2019,7.1
Первая дочь (фильм Энди Кедиффа),"комедия, мелодрама",Энди Кэдифф,"США, Великобритания",2004,6.1
"Первая встреча, последняя встреча",детективный фильм,Виталий Мельников,СССР,1987,7.1
Первая дочь (фильм Фореста Уитакера),"комедия, драма, мелодрама",Форест Уитакер,США,2004,5.1
Первая Бастилия,биографический фильм,Михаил Ершов,СССР,1965,
Пер Гюнт (телефильм),драма,Уве Янсон,Германия,2006,6.2
Пер-р-рвокурсница,"мелодрама, комедия",Юрий Рогозин,"Украина, Россия",2001,
"Пеппи Длинныйчулок (фильм, 1984)","музыкальная, трагикомедия, семейный фильм, сказка",Маргарита Микаэлян,СССР,1984,6.2
Пепел и алмаз,драма,Анджей Вайда,Польша,1958,7.7
Пеп устанавливают закон,комедия,Рауль Андре,Франция,1955,5.8
Пепел (фильм),драма,Анджей Вайда,Польша,1965,7.1
Пепе ле Моко,Криминальная драма,Жюльен Дювивье,Франция,1937,7.7
"Пепи, Люси, Бом и остальные девушки","комедия, приключения",Педро Альмодовар,Испания,1980,6.1
Пентхаус с видом на север,"драма, триллер",Джозеф Рубен,"США, Канада",2013,5.5
"Пенн и Теллер: Сделай так, чтоб тебя убили",комедия,Артур Пенн,США,1989,5.7
Пенни и дело Поунолла,детектив,Слим Хэнд,Великобритания,1948,5.5
"Пенелопа (фильм, 2006)","романтическая, комедия, фэнтези","Марк Палански, ru","Великобритания, США",2006,6.7
"Пена дней (фильм, 2013)","комедия, драма, фэнтези, мелодрама",Мишель Гондри,"Франция, Бельгия",2013,6.5
Пендаль привидению,"боевик, комедия, фильм ужасов","Саммо Хун, Кори Юнь, Эрик Цан, Рикки Лау",Гонконг,1992,5.5
"Пена дней (фильм, 1968)",комедийная драма,Шарль Белмон,Франция,1968,5.5
Пена (фильм),"комедия, сатира",Александр Стефанович,СССР,1979,6.4
"Педро (фильм, 1938)",,,СССР,1938,
Пеле: Рождение легенды,"фильм-биография, спортивная драма","Джефф Цимбалист, Майкл Цимбалист",США,2016,7.1
Пелле-завоеватель,драма,Билле Аугуст,"Дания, Швеция",1987,7.8
Пеликан (фильм),"комедия, семейный",Оливье Орле,"Франция, Греция",2011,6.9
Пеле навсегда,документальный фильм,Анибал Массаини Нето,Бразилия,2004,7.4
"Пекло (фильм, 2007)","научная фантастика, драма, триллер, приключения",Дэнни Бойл,Великобритания,2007,7.2
Пелагия и белый бульдог (фильм),Детективный фильм,Юрий Мороз,Россия,2009,6.6
Пейзаж с тремя купальщицами,драма,Валерий Рубинчик,Россия,1995,5.2
Пекинская блондинка,"приключенческий фильм, комедия, драма",Николас Жесснер,"Франция, ФРГ, Италия",1967,5.0
Пейзаж после битвы,драма,Анджей Вайда,Польша,1970,7.0
Пекарь императора — Император пекарей,"кинокомедия, фильм-сказка",Мартин Фрич,Чехословакия,1951,8.1
Педикаб,драма,Паоло Виллалуна,Филиппины,2016,8.3
Пейзаж в тумане,драма,Теодорос Ангелопулос,"Греция, Франция, Италия",1988,7.9
Педагогическая поэма (фильм),драма,"Алексей Маслюков, Мечислава Маевская",СССР,1955,6.7
"Пегий пёс, бегущий краем моря (фильм)",драма,Карен Геворкян,"СССР, Германия",1990,7.4
Пегги Сью вышла замуж,"комедия, драма, фэнтези, музыкальный фильм, мелодрама",Фрэнсис Форд Коппола,США,1986,6.4
Певичка (фильм),драма,Альфредо Джаннетти,Италия,1970,7.6
Певица на всю голову,"романтический фильм, комедийный фильм",Бен Луин,"Австралия, США, Великобритания",2020,6.4
"Пауза (фильм, 1967)","драма, экранизация",Алексей Щербаков,СССР,1967,
Пачка «Казбека»,"комедия, короткометражный фильм",Рашид Атамалибеков,"СССР, Азербайджанская ССР",1958,
Пацифистка,драматический фильм,Миклош Янчо,"Венгрия, Италия, Франция",1970,5.4
Паучиха,детектив,Рой Уильям Нил,США,1943,7.0
"Пациенты (фильм, 2016)","комедийный фильм, драматический фильм",Фабьен Марсуд,Франция,"2017, 14 декабря, 2017",7.2
"Пацаны (фильм, 1983)",драма,Динара Асанова,СССР,1983,7.5
Паучьи лилии,Мелодрама,Зеро Чжоу Мэйлин,,2007,6.1
Пациент № 1,"драма, исторический",Резо Гигинеишвили,,2023,7.1
Паутина Шарлотты (фильм),"комедия, семейный фильм, фэнтези",Гари Виник,"Германия, США","2006, 4 января, 2007",6.3
Паттон (фильм),"военная, драма, биографический фильм",Франклин Шеффнер,США,1970,7.9
"Паутина (фильм, 1947)","нуар, криминальный фильм, драма, триллер",Майкл Гордон,США,1947,7.1
"Паук (фильм, 1945)",Фильм нуар,Роберт Д. Уэбб,США,1945,5.9
"Паук (фильм, 2002)","триллер, драма",Дэвид Кроненберг,"Великобритания, Канада",2002,6.8
Паутина преступления,Фильм нуар,Натан Юран,США,1955,6.0
Паттиги: Удар головой,"боевик, драма, комедия",Кадзуюки Идзуцу,Япония,2004,6.7
Паутина лжи,"драма, мелодрама",Сидни Поллак,США,"1999, 23 декабря, 1999",5.3
"Паук (фильм, 1992)","эротический, триллер, ужасы, экранизация",Василий Масс,"СССР, Латвия",1992,6.6
"Патриот (фильм, 2000)","военный фильм, драма",Роланд Эммерих,США,2000,7.2
"Патрик 1,5","драма, комедия",Элла Лемхаген,Швеция,2008,6.9
"Патриот (фильм, 1998)","боевик, триллер",Дин Семлер,США,1998,4.2
Патриотвилль,комедия,Талмейдж Кули,США,2009,4.4
Патрик ещё жив,"криминальный фильм, драма, фильм ужасов",Марио Ланди,Италия,1980,5.5
Пастух (фильм),"драма, экранизация",Искра Бабич,СССР,1957,
Патруль (фильм),"псевдодокументальный, криминальный фильм",Дэвид Эйер,США,2012,7.6
"Патриот (фильм, 1928)",байопик,Эрнст Любич,США,1928,
"Патруль времени (фильм, 1994)","фантастика, боевик, мелодрама, триллер",Питер Хайамс,"США, Канада, Япония",1994,5.9
"Патриоты (фильм, 2006)",Драма,Рашид Бушареб,"Франция, Алжир, Бельгия, Марокко",2006,7.0
"Патруль времени (фильм, 2014)","Фантастика, триллер",Братья Спириги,Австралия,"8 марта, 2014",7.4
Патрульная машина 54,комедийный фильм,Билл Фишман,США,1994,2.5
Патерсон (фильм),драма,Джим Джармуш,США,2016,7.3
Патси (фильм),"комедийная драма, немое кино",Кинг Видор,США,1928,7.5
Патриарх Дамо,"боевик, биографический фильм, исторический фильм, драма",Бренди Юнь,Гонконг,1994,6.9
Патруль: По законам улиц,"криминальный, боевик","Фредерик Луис Виид, Андерс Эльхольм",Дания,2020,6.5
Патрульный 777,чёрная комедия,Мигель Дельгадо,Мексика,1978,6.4
Патология (фильм),"криминал, триллер, фильм ужасов",Марк Шолерманн,США,2008,5.9
Пасхальный парад,Музыкальный фильм,Чарльз Уолтерс,США,1948,7.3
"Патрик (фильм, 2018)",комедия,Мэнди Флетчер,Великобритания,2018,5.9
Пасть волка,"драма, документальный",Пьетро Марчелло,Италия,2009,6.8
"Пастырь (фильм, 2011)","боевик, триллер, ужасы, антиутопия, постапокалиптика",Скотт Стюарт,США,2011,5.7
Пастушок из долины,киноповесть,Франтишек Влачил,Чехословакия,1983,6.8
Пастух и царь,"драма, пропагандистский",Александр Ледащев,СССР,1935,
Пасторальная симфония (фильм),драма,Жан Деланнуа,Франция,1946,6.9
Пастор Шепард,"драма, комедия",Эдвин Л. Маршалл,США,2010,4.2
Пастораль 1943,"драма, военный фильм",Вим Верстаппен,Нидерланды,1978,6.8
Пастораль (фильм),драма,Отар Иоселиани,СССР,1976,7.3
"Пастер (фильм, 1935)",драматический фильм,Саша Гитри,Франция,1935,6.2
"Пастер (фильм, 1922)",немое кино,"Жан Эпштейн, Жан Бенуа-Леви",Франция,,5.6
Паства (фильм),"криминальный фильм, детектив, драма, триллер",Эндрю Лау,США,2007,5.7
Пассажиры ночи,драматический фильм,Микаэль Эрс,Франция,2022,6.9
"Пассажиры (фильм, 2016)","научная фантастика, романтическая драма",Мортен Тильдум,США,2016,7.0
Пастор Браун,драма,Рокмонд Данбар,США,2009,6.4
"Пассажиры (фильм, 2008)","драма, триллер, детектив",Родриго Гарсиа,США,2008,5.8
Патти Кейкс,драма,Geremy Jasper,США,2017,6.8
"Пассажирка (фильм, 1963)",психологическая драма,"Анджей Мунк, Витольд Лесевич",Польша,1963,7.4
Пассажир дождя,детектив,Рене Клеман,"Франция, Италия",1970,6.7
Пассажир с «Экватора»,"драма, детский, приключение",Александр Курочкин,СССР,1968,6.8
"Пассажиры (фильм, 1977)",драма,Серж Леруа,"Франция, Италия",1977,6.3
Пассажир 57,боевик,Кевин Хукс,США,1992,5.9
"Патрик (фильм, 1978)","фильм ужасов, фантастика, триллер",Ричард Франклин,Австралия,1978,6.2
"Пассажирка (фильм, 2008)",мелодрама,Станислав Говорухин,Россия,2008,5.4
Пассажир (фильм),"боевик, триллер",Жауме Кольет-Серра,"США, Великобритания",2018,6.3
Паспорт (фильм),комедийная драма,Георгий Данелия,"СССР, Австрия, Израиль, Франция, Грузия",1990,7.4
Паром «Анна Каренина»,мелодрама,Александра Яковлева,Россия,,
Паспорт в Париж,"комедия, семейный фильм",Алан Меттер,США,1999,5.2
Пасека (фильм),антиутопический фильм,"Андрей Кагадеев, Николай Копейкин",Россия,2002,7.0
Паскаль (фильм),"биография, исторический",Роберто Росселлини,"Италия, Франция",,7.0
Пате-журнал,"документальный фильм, киножурнал",,Франция,,
Паскуалино «Семь красоток»,"комедийная драма, драматический фильм",Лина Вертмюллер,Италия,"20 декабря, 1975, 21 января, 1976, 1976, 24 марта, 1977, 11 апреля, 1977, 4 мая, 1977, 3 июня, 1977, 8 июля, 1977, 1 сентября, 1977, 29 сентября, 1977, 20 октября, 1977, 2 февраля, 1978, 6 марта, 1978, 1984, 26 сентября, 1985",7.7
Парящий тигр (фильм),драма,Рэй Джиаратана,США,,4.7
Партизаны в степях Украины,"военный, драма",Игорь Савченко,СССР,1942,5.6
Партийный билет (фильм),приключенческий фильм,Иван Пырьев,СССР,1936,7.1
"Партия в карты (фильм, 1896)",Документальное кино,Жорж Мельес,Франция,1896,5.1
Пары (фильм),комедия,"Марио Моничелли, Альберто Сорди, Витторио Де Сика",Италия,1970,5.9
Партизанский отряд (фильм),"драма, военный",Хисен Хакани,НСРА,1969,7.4
"Паршивая овца (фильм, 2006)",комедийный фильм ужасов,Джонатан Кинг,Новая Зеландия,2006,5.8
Партизанская эскадрилья,"военная, драма",Хайрудин Крвавац,Югославия,1979,6.6
Партизанская искра (фильм),драма,"Алексей Маслюков, Мечислава Маевская",СССР,1957,5.0
Пароходный Билл — младший,"кинокомедия, драма, мелодрама, боевик","Чарльз Рейснер, Бастер Китон",США,1928,7.8
Пароль знали двое,"приключения, драма, шпионский фильм",Николай Ли́тус,СССР,1985,5.5
Пароль не нужен (фильм),приключения,Борис Григорьев,СССР,1967,6.1
"Пароход, плывущий по течению","комедия, мелодрама",Джон Форд,США,1935,6.9
Парный удар,"Боевик, приключение",Аарон Норрис,США,1992,5.2
Парни со стволами,"фильм-биография, военный, комедия",Тодд Филлипс,США,2016,7.1
Парни что надо,"историческая, драма, приключения",Филип Кауфман,США,1983,7.8
